Mean ,Standard Deviation ,SE of mean,Variance,Skewness,Kurtosis,Coefficient of Variation,Mean absolute Deviation,Mode ,Harmonic Mean ,Median,Flowrate
2.98889022,0.112882083,0.000564403,0.012742365,2.515206969,10.45988872,0.037767223,0.070675883,2.959532,2.684967726,2.959532,Non Leakage
2.592974922,0.110564139,0.000552814,0.012224429,1.621947192,10.90148504,0.036941218,0.168430937,2.959532,2.989225097,2.959532,Leakages
2.994869353,0.111193659,0.000555961,0.01236403,2.622177955,10.91873246,0.03712805,0.088783849,2.959532,2.591080523,2.959532,Non Leakage
2.697241148,0.112245936,0.000561223,0.01259915,1.530313176,10.55452679,0.037449752,0.106992817,2.959532,2.993373188,2.959532,Leakages
3.099303658,0.111687968,0.000558433,0.012474202,2.572693322,10.72400806,0.037237966,0.069025644,2.959532,2.695480893,2.959532,Non Leakage
2.601534911,0.114553392,0.00057276,0.01312248,1.460621278,10.03205852,0.038164937,0.071827115,2.959532,3.197508694,3.003632,Leakages
3.234264917,0.153363755,0.000766809,0.023520441,2.803876719,1.608537107,0.050543957,0.214412638,3.010346,2.626766323,3.010346,Non Leakage
2.736133043,0.152500143,0.000762491,0.023256293,1.922380558,2.169899567,0.050228412,0.112142598,3.010346,3.028758823,3.010346,Leakages
3.007733346,0.11737053,0.000586845,0.013775841,2.315104177,9.339947124,0.039022918,0.075458511,2.959532,2.703500083,3.003632,Non Leakage
2.812693896,0.12012432,0.000600614,0.014429852,1.22544824,8.775956976,0.039872727,0.079062526,2.959532,3.108259808,3.003632,Leakages
3.115171922,0.124513517,0.00062256,0.015503616,2.874325494,6.927433632,0.041295661,0.085363489,2.959532,2.710361338,3.003632,Non Leakage
2.719224663,0.12371245,0.000618555,0.01530477,2.033171144,7.849010871,0.040974907,0.084497336,3.003632,3.314506893,3.003632,Leakages
3.02260575,0.125434936,0.000627167,0.015733923,2.882799645,7.022824939,0.04149894,0.187236195,3.003632,2.617738343,3.003632,Non Leakage
2.52559874,0.124652935,0.000623257,0.015538354,1.959232612,7.343531383,0.041199427,0.086800239,3.003632,3.12080857,3.003632,Leakages
3.391437985,0.136050108,0.000680242,0.018509632,2.448552174,4.964893708,0.045028264,0.197572125,3.003632,2.471563738,3.003632,Non Leakage
2.742132239,0.135653018,0.000678257,0.018401741,1.544017184,5.411715837,0.044591427,0.097712021,3.091983,3.036423685,3.003632,Leakages
2.997657699,0.161705326,0.000808517,0.026148612,2.572114516,1.903702487,0.052202452,0.132140879,3.187353,2.789390082,3.187353,Non Leakage
2.594945645,0.165262873,0.000826304,0.027311817,0.559105597,1.679897479,0.053397666,0.135194061,3.187353,3.486303494,3.187353,Leakages
3.191587483,0.168837677,0.000844178,0.028506161,2.572103331,1.575195255,0.054611968,0.138235438,3.187353,2.582569353,3.010346,Non Leakage
2.603398271,0.166712439,0.000833552,0.027793037,0.594274109,1.91971176,0.053719318,0.135258575,3.187353,3.19464051,3.187353,Leakages
3.103004097,0.174515899,0.000872569,0.030455799,2.391712186,1.04031535,0.05624095,0.143338794,3.187353,2.693321699,3.187353,Non Leakage
2.708133298,0.176019226,0.000880085,0.030982768,1.382382314,1.0067358,0.056631814,0.144006333,3.187353,3.298295374,3.187353,Leakages
3.010183175,0.175328882,0.000876633,0.030740217,2.418405229,1.057351303,0.056524304,0.143987783,3.187353,2.592070069,3.187353,Non Leakage
2.403762839,0.147957928,0.00073978,0.021891549,1.074503246,3.893402242,0.047670501,0.101313129,3.092135,3.19698766,3.092135,Leakages
2.942986851,0.173277899,0.000866379,0.03002523,2.299188403,1.249441258,0.055131602,0.133323273,3.187353,2.733505864,3.187353,Non Leakage
3.590408719,0.13721461,0.000686064,0.018827849,3.087566183,-0.069989234,0.038216989,0.112181414,3.666188,2.885132305,3.577837,Non Leakage
2.888245484,0.15256577,0.000762819,0.023276314,1.027817743,-0.00340768,0.042518209,0.124284788,3.666188,3.581727547,3.577837,Leakages
3.376577098,0.148758337,0.000743782,0.022129043,2.065184809,-0.108862607,0.041592375,0.22102586,3.533738,2.570352665,3.577837,Non Leakage
2.673480025,0.167235779,0.000836168,0.027967806,1.109141484,-0.061254004,0.046799136,0.13556804,3.666188,3.565586168,3.577837,Leakages
3.039001728,0.158468872,0.000792334,0.025112383,1.914045122,-0.055727336,0.044777845,0.127052418,3.533738,2.631873539,3.533738,Non Leakage
2.827951838,0.178072452,0.000890351,0.031709798,0.903241547,-0.016326421,0.05047474,0.142077714,3.445387,3.318902933,3.533738,Leakages
3.436966701,0.194914372,0.00097456,0.037991612,2.048051727,0.070062395,0.055107777,0.155437247,3.445387,2.726186494,3.533738,Non Leakage
2.728451617,0.226996363,0.001134968,0.051527349,0.519419706,0.087425409,0.064333137,0.180455223,3.445387,3.413738918,3.533738,Leakages
3.326115368,0.252704671,0.001263508,0.063859651,2.042432025,0.073593341,0.071666592,0.201508334,3.445387,2.507864425,3.533738,Non Leakage
2.51941597,0.281868696,0.001409326,0.079449962,1.002765466,0.005507938,0.080089622,0.224963835,3.445387,3.496536611,3.533738,Leakages
3.001672855,0.292229902,0.001461131,0.085398315,2.33668163,0.100477047,0.08345437,0.231989339,3.445387,2.576995198,3.489486,Non Leakage
2.801148441,0.312463324,0.001562297,0.097633329,0.725760967,0.033232674,0.089245952,0.249073814,3.445387,3.372862398,3.489486,Leakages
3.489498725,0.330418623,0.001652072,0.109176466,2.008953972,0.046504996,0.094689424,0.262450285,3.445387,2.457580221,3.489486,Non Leakage
2.692813327,0.302620406,0.001513083,0.09157911,1.032763314,0.089091583,0.084229371,0.241705742,3.666188,3.567005,3.577837,Leakages
3.58619668,0.314169841,0.001570869,0.098702689,2.163414149,0.089134916,0.087605301,0.250022874,3.666188,2.65837526,3.577837,Non Leakage
2.88315198,0.32650566,0.001632508,0.106605946,1.281645149,0.040215526,0.09112247,0.260939922,3.445387,3.353110401,3.577837,Leakages
3.483540432,0.336674681,0.001683352,0.113349841,2.300341721,-0.039652138,0.093950295,0.269450608,3.445387,2.751351844,3.577837,Non Leakage
2.579795434,0.35942758,0.001797115,0.129188185,0.810630148,-0.081132319,0.100404503,0.387801138,3.666188,3.543016878,3.577837,Leakages
3.361951053,0.368888136,0.00184451,0.136078457,2.012502966,0.051805508,0.103563505,0.294195057,3.445387,2.722905775,3.533738,Non Leakage
2.78712403,0.378416222,0.001892057,0.143198837,1.030326593,0.050808804,0.105492929,0.303996255,3.533738,3.346104048,3.533738,Leakages
3.590003703,0.388442027,0.001942186,0.150887208,2.219755198,0.044661052,0.10820101,0.311757995,3.533738,2.546812671,3.533738,Non Leakage
2.860043908,0.416706892,0.002083508,0.173644634,1.128216716,-0.01299524,0.117051054,0.334362439,3.357036,3.409682684,3.533738,Leakages
3.148925581,0.415971335,0.002079831,0.173032151,2.019007,0.092280013,0.117210498,0.330584124,3.357036,2.59879113,3.533738,Non Leakage
2.630128572,0.527360002,0.002636767,0.278108572,1.412565708,-0.05045733,0.145273092,0.423558907,3.798944,3.549869387,3.622242,Leakages
3.122254484,0.13234019,0.000661693,0.017513926,2.571716626,0.682584928,0.0423861,0.102515062,3.091983,2.816635512,3.136235,Non Leakage
2.519592313,0.130901492,0.000654499,0.017135201,0.896641426,0.751227594,0.04196109,0.100528867,3.091983,3.114095716,3.136235,Leakages
3.102790283,0.143603397,0.000718008,0.020621936,2.151362921,0.049296072,0.046282019,0.113801069,3.091983,2.596162203,3.091983,Non Leakage
2.696637395,0.142496475,0.000712473,0.020305245,1.222478955,0.176724094,0.046016519,0.11154989,3.091983,3.090118162,3.091983,Leakages
3.397102772,0.134363975,0.000671811,0.018053678,2.139133923,0.388615909,0.043383764,0.104201852,3.091983,2.691283203,3.091983,Non Leakage
2.690965888,0.143587552,0.000717929,0.020617385,1.158091815,0.309484847,0.046453942,0.111450077,3.091983,3.184312317,3.091983,Leakages
3.091846117,0.144636424,0.000723173,0.020919695,2.101397164,0.253065845,0.046779956,0.112242067,3.091983,2.685079463,3.091983,Non Leakage
2.694064699,0.148050208,0.000740242,0.021918864,1.006843383,0.27212569,0.047849745,0.121454637,3.091983,3.286946069,3.091983,Leakages
3.192080888,0.169700788,0.000848493,0.028798357,2.020055397,0.033627234,0.05488239,0.133158018,3.091983,2.78269924,3.091983,Non Leakage
2.587719066,0.176610796,0.000883043,0.031191373,1.046555625,0.10937902,0.057197819,0.139322202,3.091983,3.377519077,3.091983,Leakages
2.983823572,0.178923632,0.000894607,0.032013666,2.033698662,0.118374446,0.058020061,0.14164477,3.091983,2.773388473,3.091983,Non Leakage
2.679875548,0.193070711,0.000965341,0.037276299,1.131911812,0.070959275,0.062687829,0.153607054,3.091983,3.26769782,3.091983,Leakages
3.574515615,0.194287971,0.000971428,0.037747816,2.318761351,0.175948685,0.063193034,0.154511553,3.091983,2.762144646,3.091983,Non Leakage
2.675057011,0.196951771,0.000984747,0.03879,1.012825279,0.103171316,0.064048169,0.156760933,3.091983,3.362321329,3.091983,Leakages
3.169828448,0.204138354,0.001020679,0.041672468,2.218101535,0.029192279,0.066498294,0.163556751,3.091983,2.556112314,3.091983,Non Leakage
2.767871332,0.222103093,0.001110502,0.049329784,1.06165005,-0.017278933,0.072396483,0.178249513,3.091983,3.051546337,3.091983,Leakages
3.46924723,0.219090355,0.001095438,0.048000584,2.155408909,0.049144907,0.07138244,0.175365768,3.091983,2.653375824,3.091983,Non Leakage
2.46495648,0.230249757,0.001151234,0.053014951,0.742012191,0.063490758,0.075123336,0.183973143,3.091983,3.147396185,3.091983,Leakages
3.164677419,0.242593704,0.001212953,0.058851705,2.020337338,0.001134107,0.07915799,0.194474832,3.091983,2.645193595,3.091983,Non Leakage
2.657797328,0.240904513,0.001204508,0.058034984,1.203876861,-0.00278576,0.078783676,0.193745327,3.091983,3.038514344,3.091983,Leakages
3.354166117,0.277488699,0.001387426,0.076999978,2.060845155,0.169226874,0.090855798,0.220834191,3.091983,2.728326424,3.047884,Non Leakage
2.555409913,0.271822747,0.001359097,0.073887606,1.126351364,0.07247702,0.088964412,0.21711051,3.091983,3.130755759,3.091983,Leakages
3.451022203,0.267423661,0.001337102,0.071515414,1.000692339,-0.024337657,0.087650513,0.214842922,3.091983,2.827213389,3.047884,Non Leakage
3.364411591,0.105666464,0.000528326,0.011165402,2.538279036,1.586541874,0.032369222,0.082050948,3.312784,3.66103902,3.268685,Non Leakage
2.349468312,0.121267262,0.000606329,0.014705749,0.545289738,1.575453367,0.037319109,0.095618864,3.312784,3.245014186,3.268685,Leakages
3.244143484,0.114082653,0.000570406,0.013014852,2.484327776,1.472088285,0.035165724,0.08986862,3.180334,2.540183993,3.268685,Non Leakage
2.638908207,0.119242411,0.000596205,0.014218753,0.508126047,1.193628485,0.036815619,0.094634359,3.180334,3.23458275,3.224586,Leakages
3.235537839,0.128199673,0.00064099,0.016435156,2.401552363,0.886864148,0.039622369,0.102016506,3.180334,2.630517547,3.224586,Non Leakage
2.731871325,0.167870955,0.000839344,0.028180658,0.16553289,0.541290775,0.051942339,0.132892962,3.180334,3.223168434,3.224586,Leakages
3.522600335,0.177610184,0.00088804,0.031545377,2.125713232,0.294625775,0.055055796,0.141605084,3.180334,2.61622572,3.224586,Non Leakage
2.523174116,0.198619091,0.000993083,0.039449543,0.105874371,0.178820379,0.061622203,0.158398872,3.180334,3.310915023,3.224586,Leakages
3.020142055,0.20801416,0.001040058,0.043269891,2.014109352,0.029973383,0.064597821,0.167150478,3.180334,2.506602505,3.224586,Non Leakage
2.210901358,0.219597141,0.001097972,0.048222904,0.508294297,0.037006367,0.06839112,0.176167783,3.091983,3.195728428,3.180334,Leakages
3.40659806,0.241117279,0.001205571,0.058137542,2.415084251,0.027532966,0.075194107,0.193360174,3.091983,2.68827678,3.180334,Non Leakage
2.400896975,0.268812882,0.001344048,0.072260366,1.504425183,0.074128549,0.083980486,0.214791171,3.091983,3.177990014,3.180334,Leakages
3.196050832,0.273600656,0.001367986,0.074857319,2.114904374,-0.024562438,0.085605853,0.219265338,3.091983,2.572247367,3.180334,Non Leakage
2.594111471,0.284487441,0.001422419,0.080933104,1.100502799,0.045855617,0.089066222,0.227176786,3.091983,3.168355554,3.180334,Leakages
3.18884038,0.294690267,0.001473433,0.086842353,1.903297379,0.003573155,0.092412988,0.23508262,3.091983,2.661134018,3.180334,Non Leakage
2.687507779,0.302614059,0.001513051,0.091575269,1.200539338,0.015987274,0.094937512,0.241602046,3.091983,3.258236024,3.180334,Leakages
3.383787373,0.324022661,0.001620093,0.104990685,1.990967869,0.04979616,0.101772707,0.258212954,3.091983,2.750036927,3.180334,Non Leakage
2.482349195,0.33007629,0.001650361,0.108950357,0.738533269,0.051760652,0.103720953,0.262475961,3.091983,3.34716716,3.180334,Leakages
3.371795347,0.353073294,0.001765344,0.124660751,2.215626009,0.015677888,0.111316543,0.281456066,3.091983,2.531365882,3.180334,Non Leakage
2.74037067,0.360037166,0.001800163,0.129626761,1.219203914,0.049090842,0.113431935,0.287172292,3.091983,3.131943364,3.180334,Leakages
3.169490047,0.379195888,0.001895956,0.143789521,2.026040191,-3.47E-05,0.1196394,0.30299423,3.091983,2.622574279,3.180334,Non Leakage
2.663022787,0.38276272,0.00191379,0.1465073,1.005098761,-0.028886787,0.121011686,0.305410435,3.091983,3.41523097,3.180334,Leakages
3.162650504,0.389075998,0.001945356,0.151380133,2.107589191,0.145802655,0.123022129,0.308832627,3.091983,2.713053452,3.180334,Non Leakage
